rank,Net Worth ($B),Age,Country of Residence,City of Residence,Source,Industries,Origin Country,Self Made,Gender,Surname,First Name,Birth Year,Residence Country CPI Inflation Percentage,Residence Country GDP,Residence Country Tertiary Education Enrollment Percentage,Country of Residence Life Expectancy,Country of Residence Population
511,5.2,81,United States,Chicago,"Real estate, private equity",Real Estate,United States,True,M,Zell,Sam,1941,17.2%,21427700000000,88.2%,78.5,328239523
523,5.1,49,China,Beijing,Steel,Manufacturing,China,True,M,Fang,Wei,1973,25.1%,19910000000000,50.6%,77.0,1397715000
523,5.1,59,India,Mumbai,Investments,Finance & Investments,India,False,F,Jhunjhunwala,Rekha,1963,80.4%,2611000000000,28.1%,69.4,1366417754
523,5.1,90,United States,Palm Beach,Franklin Templeton,Finance & Investments,United States,False,M,Johnson,Charles B.,1933,17.2%,21427700000000,88.2%,78.5,328239523
523,5.1,49,South Korea,Seoul,Online games,Media & Entertainment,South Korea,True,M,Kwon,Hyuk-bin,1974,15.2%,2029000000000,94.3%,82.6,51709098
523,5.1,61,United States,Miami Beach,Private equity,Finance & Investments,United States,True,M,Mnaymneh,Sami,1961,17.2%,21427700000000,88.2%,78.5,328239523
523,5.1,64,Norway,Vettre,"Shipping, seafood",Logistics,Norway,True,M,Rokke,Kjell Inge,1958,20.3%,403336363636,82.0%,82.8,5347896
523,5.1,65,United States,New York,Private equity,Finance & Investments,United States,True,M,Tamer,Tony,1957,17.2%,21427700000000,88.2%,78.5,328239523
523,5.1,75,United States,Palo Alto,Software,Technology,United States,True,M,Wadhwani,Romesh T.,1947,17.2%,21427700000000,88.2%,78.5,328239523
523,5.1,88,United States,Wilson,Medical devices,Healthcare,Switzerland,True,M,Wyss,Hansjoerg,1935,17.2%,21427700000000,88.2%,78.5,328239523
523,5.1,72,United States,Youngstown,San Francisco 49ers,Sports,United States,False,F,York,Denise,1950,17.2%,21427700000000,88.2%,78.5,328239523
534,5.0,79,United States,New York,Money management,Finance & Investments,United States,True,M,Baron,Ron,1943,17.2%,21427700000000,88.2%,78.5,328239523
534,5.0,75,United States,Fort Worth,"Oil, investments",Energy,United States,False,M,Bass,Robert,1948,17.2%,21427700000000,88.2%,78.5,328239523
534,5.0,55,Switzerland,Gstaad,Biotech and investments,Healthcare,Switzerland,False,F,Bertarelli,Dona,1968,-0.5%,703082435360,59.6%,83.6,8574832
534,5.0,43,United Kingdom,London,Trading,Finance & Investments,United Kingdom,True,M,Gerko,Alexander,1979,19.6%,2827113184696,60.0%,81.3,66834405
534,5.0,69,Switzerland,Zurich,"Software, investments",Technology,Switzerland,False,M,Haefner,Martin,1954,-0.5%,703082435360,59.6%,83.6,8574832
534,5.0,56,United States,Boston,Telecom,Telecom,United States,True,M,Hale,Robert,1966,17.2%,21427700000000,88.2%,78.5,328239523
534,5.0,50,Russia,Moscow,Pharmaceuticals,Healthcare,Russia,True,M,Kharitonin,Viktor,1972,80.8%,1699876578871,81.9%,72.7,144373535
534,5.0,57,South Korea,Seoul,Online services,Technology,South Korea,True,M,Kim,Beom-su,1966,15.2%,2029000000000,94.3%,82.6,51709098
534,5.0,50,United States,New York,Estée Lauder,Fashion & Retail,United States,False,F,Lauder,Jane,1973,17.2%,21427700000000,88.2%,78.5,328239523
534,5.0,83,France,Lille,Sporting goods,Fashion & Retail,France,False,M,Leclercq,Michel,1939,10.0%,2715518274227,65.6%,82.5,67059887
534,5.0,78,United States,San Anselmo,Star Wars,Media & Entertainment,United States,True,M,Lucas,George,1944,17.2%,21427700000000,88.2%,78.5,328239523
534,5.0,86,United States,Houston,"Energy, sports",Sports,United States,False,F,McNair,Janice,1936,17.2%,21427700000000,88.2%,78.5,328239523
534,5.0,57,Germany,Mainz,Biotechnology,Healthcare,Germany,True,M,Sahin,Ugur,1965,12.8%,3845630030824,70.2%,80.9,83132799
534,5.0,64,Germany,Munich,Real estate,Real Estate,Germany,False,F,Schoerghuber,Alexandra,1958,12.8%,3845630030824,70.2%,80.9,83132799
534,5.0,59,Switzerland,Basel,Dental implants,Healthcare,Switzerland,False,M,Straumann,Thomas,1963,-0.5%,703082435360,59.6%,83.6,8574832
534,5.0,64,Turkey,Istanbul,Food,Food & Beverage,Turkey,False,M,Ulker,Murat,1959,134.4%,754411708203,23.9%,77.4,83429615
534,5.0,66,Canada,Vancouver,Lululemon,Fashion & Retail,Canada,True,M,Wilson,Chip,1957,16.8%,1736425629520,68.9%,81.9,36991981
534,5.0,65,China,Beijing,Real estate,Real Estate,China,False,F,Zhu,Yan,1957,25.1%,19910000000000,50.6%,77.0,1397715000
552,4.9,79,United States,Newton,New Balance,Manufacturing,United States,True,M,Davis,Jim,1943,17.2%,21427700000000,88.2%,78.5,328239523
552,4.9,72,India,Hyderabad,Pharmaceuticals,Healthcare,India,True,M,Divi,Murali,1951,80.4%,2611000000000,28.1%,69.4,1366417754
552,4.9,81,United States,San Francisco,Dolby Laboratories,Technology,United States,False,F,Dolby,Dagmar,1941,17.2%,21427700000000,88.2%,78.5,328239523
552,4.9,65,Argentina,Buenos Aires,E-commerce,Technology,Argentina,True,M,Galperin,Marcos,1957,132.8%,449663446954,90.0%,76.5,44938712
552,4.9,81,United States,Naples,Payroll services,Service,United States,True,M,Golisano,Tom,1941,17.2%,21427700000000,88.2%,78.5,328239523
552,4.9,53,United States,New York,Investments,Finance & Investments,United States,True,M,Gray,Jonathan,1970,17.2%,21427700000000,88.2%,78.5,328239523
552,4.9,67,Georgia,Tbilisi,Investments,Finance & Investments,Georgia,True,M,Ivanishvili,Bidzina,1956,33.6%,17743195770,63.9%,73.6,3720382
552,4.9,94,Indonesia,Jakarta,"Palm oil, nickel mining",Metals & Mining,Indonesia,True,M,Lim,Hariyanto Wijaya Sarwono,1928,51.2%,1119190780753,36.3%,71.5,270203917
552,4.9,77,Switzerland,Binningen,Medical devices,Healthcare,Switzerland,True,M,Maag,Rudolf,1946,-0.5%,703082435360,59.6%,83.6,8574832
552,4.9,86,Canada,Montreal,Cheese,Food & Beverage,Canada,False,M,Saputo,Emanuele (Lino),1937,16.8%,1736425629520,68.9%,81.9,36991981
552,4.9,72,United States,Phoenix,U-Haul,Automotive,United States,False,M,Shoen,Mark,1950,17.2%,21427700000000,88.2%,78.5,328239523
552,4.9,58,United States,Potomac,Washington Commanders,Sports,United States,True,M,Snyder,Dan,1964,17.2%,21427700000000,88.2%,78.5,328239523
552,4.9,60,Indonesia,Jakarta,Diversified,Diversified,Indonesia,True,M,Tanjung,Chairul,1962,51.2%,1119190780753,36.3%,71.5,270203917
552,4.9,67,United States,Dallas,Pipelines,Energy,United States,True,M,Warren,Kelcy,1955,17.2%,21427700000000,88.2%,78.5,328239523
552,4.9,50,China,Beijing,E-commerce,Fashion & Retail,China,True,M,Zhang,Tao,1972,25.1%,19910000000000,50.6%,77.0,1397715000
567,4.8,58,United Kingdom,Hertfordshire,Sports retailing,Fashion & Retail,United Kingdom,True,M,Ashley,Michael,1964,19.6%,2827113184696,60.0%,81.3,66834405
567,4.8,50,Poland,"Krotoszyn,",Supermarkets,Fashion & Retail,Poland,True,M,Biernacki,Tomasz,1973,14.1%,592164400688,67.8%,77.6,37970874
567,4.8,79,Germany,Koenigstein,Hospitals,Healthcare,Germany,True,M,Broermann,Bernard,1943,12.8%,3845630030824,70.2%,80.9,83132799
567,4.8,69,United States,Knoxville,"Gas stations, retail",Fashion & Retail,United States,False,M,Haslam,Jimmy,1954,17.2%,21427700000000,88.2%,78.5,328239523
567,4.8,64,United States,Racine,Cleaning products,Manufacturing,United States,False,M,Johnson,H. Fisk,1958,17.2%,21427700000000,88.2%,78.5,328239523
567,4.8,67,United States,Racine,Cleaning products,Manufacturing,United States,False,M,Johnson,S. Curtis,1955,17.2%,21427700000000,88.2%,78.5,328239523
567,4.8,66,United States,Racine,Cleaning products,Manufacturing,United States,False,F,Johnson-Leipold,Helen,1956,17.2%,21427700000000,88.2%,78.5,328239523
567,4.8,68,United States,Portola Valley,Venture capital,Technology,United States,True,M,Khosla,Vinod,1955,17.2%,21427700000000,88.2%,78.5,328239523
567,4.8,64,United States,Austin,IT provider,Technology,United States,True,F,Lee,Thai,1958,17.2%,21427700000000,88.2%,78.5,328239523
567,4.8,63,United States,Virginia Beach,Cleaning products,Manufacturing,United States,False,F,Marquart,Winifred J.,1959,17.2%,21427700000000,88.2%,78.5,328239523
567,4.8,70,India,Ahmedabad,Pharmaceuticals,Healthcare,India,False,M,Patel,Pankaj,1953,80.4%,2611000000000,28.1%,69.4,1366417754
567,4.8,62,China,Shanghai,Mining,Finance & Investments,China,True,M,Yu,Yong,1961,25.1%,19910000000000,50.6%,77.0,1397715000
580,4.7,88,Portugal,Grijo,"Energy, investments",Diversified,Portugal,False,F,Amorim,Maria Fernanda,1935,10.6%,237686075635,63.9%,81.3,10269417
580,4.7,76,United States,New Orleans,New Orleans Saints,Sports,United States,False,F,Benson,Gayle,1947,17.2%,21427700000000,88.2%,78.5,328239523
580,4.7,63,Turkey,Istanbul,Carpet,Manufacturing,Turkey,True,M,Erdemoglu,Ali,1959,134.4%,754411708203,23.9%,77.4,83429615
580,4.7,54,Brazil,Sao paulo,Banking,Finance & Investments,Brazil,True,M,Esteves,Andre,1968,67.4%,1839758040766,51.3%,75.7,212559417
580,4.7,68,Canada,Toronto,Real estate,Real Estate,Canada,False,M,Fidani,Carlo,1955,16.8%,1736425629520,68.9%,81.9,36991981
580,4.7,77,South Korea,Seoul,Samsung,Technology,South Korea,False,F,Hong,Ra-hee,1945,15.2%,2029000000000,94.3%,82.6,51709098
580,4.7,50,China,Shanghai,Hair dryers,Manufacturing,China,True,M,Li,Gaiteng,1972,25.1%,19910000000000,50.6%,77.0,1397715000
580,4.7,68,United States,Croton-on-Hudson,Bloomberg LP,Media & Entertainment,United States,True,M,Secunda,Thomas,1954,17.2%,21427700000000,88.2%,78.5,328239523
580,4.7,76,China,Longkou,"Aluminum, diversified",Diversified,China,True,M,Song,Zuowen,1947,25.1%,19910000000000,50.6%,77.0,1397715000
580,4.7,52,United States,Cary,Video games,Media & Entertainment,United States,True,M,Sweeney,Tim,1970,17.2%,21427700000000,88.2%,78.5,328239523
591,4.6,61,United States,Austin,Vodka,Food & Beverage,United States,True,M,Beveridge,Bert,1962,17.2%,21427700000000,88.2%,78.5,328239523
591,4.6,64,United States,Dallas,"Online media, Dallas Mavericks",Media & Entertainment,United States,True,M,Cuban,Mark,1958,17.2%,21427700000000,88.2%,78.5,328239523
591,4.6,96,United States,Oyster Bay,Cable television,Media & Entertainment,United States,True,M,Dolan,Charles,1926,17.2%,21427700000000,88.2%,78.5,328239523
591,4.6,46,United States,San Francisco,"Twitter, Square",Technology,United States,True,M,Dorsey,Jack,1976,17.2%,21427700000000,88.2%,78.5,328239523
591,4.6,56,China,Wujiang,Petrochemicals,Energy,China,True,F,Fan,Hongwei,1967,25.1%,19910000000000,50.6%,77.0,1397715000
591,4.6,62,Kazakhstan,Almaty,Mining,Metals & Mining,Kazakhstan,True,M,Kim,Vladimir,1960,82.8%,180161741180,61.7%,73.2,18513930
591,4.6,79,United States,New York,Estee Lauder,Fashion & Retail,United States,False,M,Lauder,Ronald,1944,17.2%,21427700000000,88.2%,78.5,328239523
591,4.6,54,China,Fushun,Renewable energy,Manufacturing,China,True,M,Li,Chunan,1968,25.1%,19910000000000,50.6%,77.0,1397715000
591,4.6,45,Singapore,Singapore,Gaming,Media & Entertainment,Singapore,True,M,Li,Forrest,1978,14.4%,372062527489,84.8%,83.1,5703569
591,4.6,69,United States,Grand Rapids,Supermarkets,Fashion & Retail,United States,False,M,Meijer,Doug,1954,17.2%,21427700000000,88.2%,78.5,328239523
591,4.6,71,United States,Grand Rapids,Supermarkets,Fashion & Retail,United States,False,M,Meijer,Hank,1952,17.2%,21427700000000,88.2%,78.5,328239523
591,4.6,65,United States,Grand Rapids,Supermarkets,Fashion & Retail,United States,False,M,Meijer,Mark,1957,17.2%,21427700000000,88.2%,78.5,328239523
591,4.6,79,Algeria,Algiers,Food,Food & Beverage,Algeria,True,M,Rebrab,Issad,1944,51.4%,169988236398,51.4%,76.7,43053054
591,4.6,78,United States,Memphis,FedEx,Logistics,United States,True,M,Smith,Fred,1944,17.2%,21427700000000,88.2%,78.5,328239523
591,4.6,62,United States,Miami,Private equity,Finance & Investments,United States,True,M,Sternlicht,Barry,1960,17.2%,21427700000000,88.2%,78.5,328239523
591,4.6,34,Germany,Battenberg,"Heating, cooling equipment",Manufacturing,Germany,False,M,Viessmann,Maximilian,1989,12.8%,3845630030824,70.2%,80.9,83132799
591,4.6,52,United States,Delray Beach,Energy drinks,Food & Beverage,United States,True,M,Weiner,Russ,1970,17.2%,21427700000000,88.2%,78.5,328239523
591,4.6,66,China,Wuhan,Healthcare,Healthcare,China,True,M,Xue,Min,1957,25.1%,19910000000000,50.6%,77.0,1397715000
611,4.5,82,Germany,Walldorf,Software,Technology,Germany,True,M,Hopp,Dietmar,1940,12.8%,3845630030824,70.2%,80.9,83132799
611,4.5,56,China,Weifang,Acoustic components,Technology,China,True,M,Jiang,Bin,1966,25.1%,19910000000000,50.6%,77.0,1397715000
611,4.5,54,United States,Austin,Software,Technology,United States,True,M,Liemandt,Joseph,1968,17.2%,21427700000000,88.2%,78.5,328239523
611,4.5,83,Switzerland,Zurich,Dairy,Food & Beverage,Germany,False,M,Mueller,Theo,1940,-0.5%,703082435360,59.6%,83.6,8574832
611,4.5,76,India,Bangalore,Software services,Technology,India,True,M,Murthy,N.R. Narayana,1946,80.4%,2611000000000,28.1%,69.4,1366417754
611,4.5,71,Norway,Trondheim,"Retail, real estate",Fashion & Retail,Norway,False,M,Reitan,Odd,1951,20.3%,403336363636,82.0%,82.8,5347896
611,4.5,60,United States,New York,Private equity,Finance & Investments,United States,True,M,Rowan,Marc,1962,17.2%,21427700000000,88.2%,78.5,328239523
611,4.5,70,United Arab Emirates,Dubai,Real estate,Real Estate,United Arab Emirates,True,M,Sajwani,Hussain,1953,14.5%,421142267938,36.8%,77.8,9770529
611,4.5,41,Brazil,Sao Paulo,Fintech,Finance & Investments,Colombia,True,M,Velez,David,1981,67.4%,1839758040766,51.3%,75.7,212559417
611,4.5,59,China,Guangzhou,Chemicals,Manufacturing,China,True,M,Xu,Jinfu,1964,25.1%,19910000000000,50.6%,77.0,1397715000
611,4.5,65,China,Wenzhou,"Chemicals, spandex",Manufacturing,China,True,M,You,Xiaoping,1958,25.1%,19910000000000,50.6%,77.0,1397715000
624,4.4,50,United States,Boston,"Biotech, vaccines",Healthcare,France,True,M,Bancel,Stéphane,1972,17.2%,21427700000000,88.2%,78.5,328239523
624,4.4,89,United States,Dallas,"Computer services, real estate",Technology,United States,False,F,Birmingham Perot,Margot,1933,17.2%,21427700000000,88.2%,78.5,328239523
624,4.4,88,United States,San Diego,Defense,Manufacturing,United States,True,M,Blue,Neal,1935,17.2%,21427700000000,88.2%,78.5,328239523
624,4.4,63,United States,Cockeysville,Staffing & recruiting,Service,United States,True,M,Davis,Jim,1960,17.2%,21427700000000,88.2%,78.5,328239523
624,4.4,64,Spain,Madrid,Construction,Construction & Engineering,Spain,False,M,Del Pino,Rafael,1958,11.0%,1394116310769,88.9%,83.3,47076781
624,4.4,81,Switzerland,Liestal,Biochemicals,Healthcare,Switzerland,True,M,Grogg,Peter,1942,-0.5%,703082435360,59.6%,83.6,8574832
624,4.4,58,Germany,Munich,Retail,Fashion & Retail,Germany,False,M,Haub,Christian,1964,12.8%,3845630030824,70.2%,80.9,83132799
624,4.4,67,India,Mumbai,Real estate,Real Estate,India,True,M,Lodha,Mangal Prabhat,1955,80.4%,2611000000000,28.1%,69.4,1366417754
624,4.4,71,United States,Wynnewood,Philadelphia Eagles,Sports,United States,False,M,Lurie,Jeffrey,1951,17.2%,21427700000000,88.2%,78.5,328239523
624,4.4,66,United States,Chicago,Investment research,Finance & Investments,United States,True,M,Mansueto,Joe,1956,17.2%,21427700000000,88.2%,78.5,328239523
624,4.4,65,China,Suzhou,Home-cleaning robots,Manufacturing,China,True,M,Qian,Dongqi,1958,25.1%,19910000000000,50.6%,77.0,1397715000
624,4.4,54,Russia,Moscow,Titanium,Metals & Mining,Russia,True,M,Shelkov,Mikhail,1968,80.8%,1699876578871,81.9%,72.7,144373535
636,4.3,59,Switzerland,Zermatt,Telecom,Telecom,France,True,M,Drahi,Patrick,1963,-0.5%,703082435360,59.6%,83.6,8574832
636,4.3,46,United States,Los Angeles,Private equity,Finance & Investments,United States,True,M,Eghbali,Behdad,1976,17.2%,21427700000000,88.2%,78.5,328239523
636,4.3,63,Spain,A Coruña,Banking,Finance & Investments,Venezuela,True,M,Escotet,Juan Carlos,1959,11.0%,1394116310769,88.9%,83.3,47076781
636,4.3,49,United States,Los Angeles,Private equity,Finance & Investments,United States,True,M,Feliciano,Jose E.,1973,17.2%,21427700000000,88.2%,78.5,328239523
636,4.3,61,China,Beijing,Pharmaceuticals,Healthcare,China,True,M,Hu,Kaijun,1962,25.1%,19910000000000,50.6%,77.0,1397715000
636,4.3,91,United States,Fayetteville,Trucking,Logistics,United States,True,F,Hunt,Johnelle,1932,17.2%,21427700000000,88.2%,78.5,328239523
636,4.3,90,United States,Bingham Farms,Little Caesars Pizza,Food & Beverage,United States,True,F,Ilitch,Marian,1933,17.2%,21427700000000,88.2%,78.5,328239523
636,4.3,61,Canada,Edmonton,Pharmacies,Diversified,Canada,True,M,Katz,Daryl,1961,16.8%,1736425629520,68.9%,81.9,36991981
636,4.3,62,Russia,Verkhniaya Pyshma,Metals,Metals & Mining,Russia,True,M,Kozitsyn,Andrei,1960,80.8%,1699876578871,81.9%,72.7,144373535
636,4.3,56,Kazakhstan,Almaty,Banking,Finance & Investments,Kazakhstan,True,M,Kulibaev,Timur,1966,82.8%,180161741180,61.7%,73.2,18513930
636,4.3,55,Kazakhstan,Almaty,Banking,Finance & Investments,Kazakhstan,False,F,Kulibaeva,Dinara,1967,82.8%,180161741180,61.7%,73.2,18513930
636,4.3,61,United States,Rancho Santa Fe,Cargill,Food & Beverage,United States,False,F,Meyer,Gwendolyn Sontheim,1961,17.2%,21427700000000,88.2%,78.5,328239523
636,4.3,75,United States,San Francisco,Real estate,Real Estate,United States,True,M,Paul,Jay,1947,17.2%,21427700000000,88.2%,78.5,328239523
636,4.3,54,Vietnam,Hanoi,Diversified,Diversified,Vietnam,True,M,Pham,Nhat Vuong,1968,63.5%,261921244843,28.5%,75.3,96462106
636,4.3,64,United States,New York,Medical equipment,Healthcare,United States,False,M,Stryker,Jon,1958,17.2%,21427700000000,88.2%,78.5,328239523
636,4.3,42,China,Shenzhen,Drones,Technology,China,True,M,Wang,Frank,1980,25.1%,19910000000000,50.6%,77.0,1397715000
636,4.3,74,China,Ningbo,Solar inverters,Manufacturing,China,True,M,Wang,Junshi,1949,25.1%,19910000000000,50.6%,77.0,1397715000
636,4.3,58,China,Beijing,Business software,Technology,China,True,M,Wang,Wenjing,1964,25.1%,19910000000000,50.6%,77.0,1397715000
636,4.3,83,United States,Coral Gables,Investments,Finance & Investments,United States,True,M,Wertheim,Herbert,1939,17.2%,21427700000000,88.2%,78.5,328239523
659,4.2,65,Israel,Tel Aviv,Carnival Cruises,Service,Israel,False,F,Arison,Shari,1957,8.2%,395098666122,63.4%,82.8,9053300
659,4.2,82,China,Beijing,Real estate,Real Estate,China,True,F,Chan,Laiwa,1941,25.1%,19910000000000,50.6%,77.0,1397715000
659,4.2,57,China,Shenzhen,Real estate,Real Estate,China,True,M,Chen,Hua,1966,25.1%,19910000000000,50.6%,77.0,1397715000
659,4.2,87,United States,Erie,Insurance,Finance & Investments,United States,False,M,Hagen,Thomas,1936,17.2%,21427700000000,88.2%,78.5,328239523
659,4.2,82,United States,Burlingame,Franklin Templeton,Finance & Investments,United States,False,M,Johnson,Rupert,1940,17.2%,21427700000000,88.2%,78.5,328239523
659,4.2,72,Indonesia,Jakarta,Coal,Energy,Indonesia,True,F,Kam,Dewi,1950,51.2%,1119190780753,36.3%,71.5,270203917
659,4.2,74,United States,Leawood,Navigation equipment,Technology,United States,True,M,Kao,Min,1949,17.2%,21427700000000,88.2%,78.5,328239523
659,4.2,82,France,Paris,Finance,Finance & Investments,France,True,M,Ladreit de Lacharriere,Marc,1940,10.0%,2715518274227,65.6%,82.5,67059887
659,4.2,53,United States,Glencoe,"Groupon, investments",Technology,United States,True,M,Lefkofsky,Eric,1969,17.2%,21427700000000,88.2%,78.5,328239523
659,4.2,55,China,Shenzhen,Smartphones,Technology,United States,True,M,Lin,Bin,1968,25.1%,19910000000000,50.6%,77.0,1397715000
659,4.2,59,China,Shenzhen,Investments,Finance & Investments,China,True,M,Lin,Li,1963,25.1%,19910000000000,50.6%,77.0,1397715000
659,4.2,68,United States,San Francisco,Venture capital,Technology,United States,True,M,Moritz,Michael,1954,17.2%,21427700000000,88.2%,78.5,328239523
659,4.2,60,United States,Los Angeles,"Hotels, investments",Service,United States,False,F,Pritzker,Jean (Gigi),1962,17.2%,21427700000000,88.2%,78.5,328239523
659,4.2,73,United States,Phoenix,U-Haul,Automotive,United States,False,M,Shoen,E. Joe,1949,17.2%,21427700000000,88.2%,78.5,328239523
659,4.2,58,United States,Los Angeles,EBay,Technology,United States,True,M,Skoll,Jeff,1965,17.2%,21427700000000,88.2%,78.5,328239523
659,4.2,40,United States,Glendora,In-N-Out Burger,Food & Beverage,United States,False,F,Snyder,Lynsi,1982,17.2%,21427700000000,88.2%,78.5,328239523
659,4.2,73,Indonesia,Jakarta,Supermarkets,Fashion & Retail,Indonesia,True,M,Susanto,Djoko,1950,51.2%,1119190780753,36.3%,71.5,270203917
659,4.2,55,United States,Los Angeles,"Facebook, investments",Finance & Investments,United States,True,M,Thiel,Peter,1967,17.2%,21427700000000,88.2%,78.5,328239523
679,4.1,68,Czech Republic,Prague,Agriculture,Food & Beverage,Czech Republic,True,M,Babis,Andrej,1954,16.5%,246489245495,64.1%,79.0,10669709
679,4.1,83,France,Paris,Food services,Service,France,False,F,Bellon,Danielle,1940,10.0%,2715518274227,65.6%,82.5,67059887
679,4.1,83,Germany,Munich,Publishing,Media & Entertainment,Germany,False,M,Burda,Hubert,1940,12.8%,3845630030824,70.2%,80.9,83132799
679,4.1,87,United States,Plantation,Beverages,Food & Beverage,United States,True,M,Caporella,Nick,1936,17.2%,21427700000000,88.2%,78.5,328239523
679,4.1,74,United States,New York,"Oil, real estate",Energy,United States,True,M,Catsimatidis,John,1948,17.2%,21427700000000,88.2%,78.5,328239523
679,4.1,70,United States,Woodside,Software,Technology,United States,True,M,Cook,Scott,1952,17.2%,21427700000000,88.2%,78.5,328239523
679,4.1,54,Italy,Milan,Spirits,Food & Beverage,Italy,False,M,Garavoglia,Luca,1969,10.6%,2001244392042,61.9%,82.9,60297396
679,4.1,66,Finland,Kirkkonummi,"Elevators, escalators",Manufacturing,Finland,False,M,Herlin,Antti,1956,12.3%,268761201365,88.2%,81.7,5520314
679,4.1,55,China,Putian,Paint,Manufacturing,China,True,M,Hong,Jie,1967,25.1%,19910000000000,50.6%,77.0,1397715000
679,4.1,83,United States,East Aurora,Food service,Service,United States,False,M,Jacobs,Jeremy,1940,17.2%,21427700000000,88.2%,78.5,328239523
679,4.1,56,Russia,Moscow,"Tobacco distribution, retail",Fashion & Retail,Russia,True,M,Kesaev,Igor,1966,80.8%,1699876578871,81.9%,72.7,144373535
679,4.1,73,United States,Coatesville,Campbell Soup,Food & Beverage,United States,False,F,Malone,Mary Alice Dorrance,1950,17.2%,21427700000000,88.2%,78.5,328239523
679,4.1,61,Brazil,Rio de Janeiro,"Banking, minerals",Diversified,Brazil,False,M,Moreira Salles,Joao,1962,67.4%,1839758040766,51.3%,75.7,212559417
679,4.1,66,Brazil,Rio de Janeiro,"Banking, minerals",Finance & Investments,Brazil,False,M,Moreira Salles Junior,Walther,1956,67.4%,1839758040766,51.3%,75.7,212559417
679,4.1,76,United States,Phoenix,"Billboards, Los Angeles Angels",Sports,United States,True,M,Moreno,Arturo,1946,17.2%,21427700000000,88.2%,78.5,328239523
679,4.1,63,Switzerland,Weiningen,Train cars,Manufacturing,Switzerland,True,M,Spuhler,Peter,1959,-0.5%,703082435360,59.6%,83.6,8574832
679,4.1,88,United States,Beverly Hills,Real estate,Real Estate,United States,True,M,Sterling,Donald,1934,17.2%,21427700000000,88.2%,78.5,328239523
679,4.1,82,Australia,Perth,"Construction equipment, media",Diversified,Australia,True,M,Stokes,Kerry,1940,19.8%,1392680589329,113.1%,82.7,25766605
679,4.1,60,United States,Los Altos Hills,Cybersecurity,Technology,United States,True,M,Xie,Ken,1963,17.2%,21427700000000,88.2%,78.5,328239523
679,4.1,57,China,Beijing,Biotech,Healthcare,China,True,M,Xie,Liangzhi,1966,25.1%,19910000000000,50.6%,77.0,1397715000
699,4.0,80,United States,Fort Worth,"Oil, investments",Energy,United States,False,M,Bass,Sid,1942,17.2%,21427700000000,88.2%,78.5,328239523
699,4.0,48,United States,Atlanta,Email marketing,Technology,United States,True,M,Chestnut,Ben,1974,17.2%,21427700000000,88.2%,78.5,328239523
699,4.0,56,China,Shanghai,Conglomerate,Diversified,China,True,M,Guo,Guangchang,1967,25.1%,19910000000000,50.6%,77.0,1397715000
699,4.0,77,India,Delhi,Electrical equipment,Manufacturing,India,False,F,Gupta,Vinod Rai,1945,80.4%,2611000000000,28.1%,69.4,1366417754
699,4.0,73,United States,Boca Raton,Sports,Sports,United States,True,M,Henry,John,1949,17.2%,21427700000000,88.2%,78.5,328239523
699,4.0,46,United States,Los Angeles,Uber,Technology,United States,True,M,Kalanick,Travis,1976,17.2%,21427700000000,88.2%,78.5,328239523
699,4.0,61,Malaysia,Petaling Jaya,Aluminum,Manufacturing,Malaysia,True,M,Koon,Poh Keong,1961,21.5%,364701517788,45.1%,76.0,32447385
699,4.0,51,United States,Atlanta,Email marketing,Technology,United States,True,M,Kurzius,Dan,1971,17.2%,21427700000000,88.2%,78.5,328239523
699,4.0,65,China,Yuxi,Battery separators,Manufacturing,United States,True,M,Lee,Paul,1958,25.1%,19910000000000,50.6%,77.0,1397715000
699,4.0,42,Canada,Ottawa,E-commerce,Technology,Canada,True,M,Lutke,Tobi,1980,16.8%,1736425629520,68.9%,81.9,36991981
699,4.0,79,United States,Salt Lake City,Car dealerships,Automotive,United States,True,F,Miller,Gail,1943,17.2%,21427700000000,88.2%,78.5,328239523
699,4.0,63,India,Delhi,Telecom,Telecom,India,False,M,Mittal,Rajan,1960,80.4%,2611000000000,28.1%,69.4,1366417754
699,4.0,67,India,Delhi,Telecom,Telecom,India,False,M,Mittal,Rakesh,1955,80.4%,2611000000000,28.1%,69.4,1366417754
699,4.0,80,United States,Palm Beach,Marvel comics,Media & Entertainment,United States,True,M,Perlmutter,Isaac,1942,17.2%,21427700000000,88.2%,78.5,328239523
699,4.0,90,United States,Chevy Chase,"Banking, real estate",Finance & Investments,United States,False,M,Saul,Bernard,1932,17.2%,21427700000000,88.2%,78.5,328239523
699,4.0,68,Italy,Milan,Telecom,Telecom,Israel,True,M,Shani,Shaul,1955,10.6%,2001244392042,61.9%,82.9,60297396
699,4.0,76,United States,Pacific Palisades,Movies,Media & Entertainment,United States,True,M,Spielberg,Steven,1946,17.2%,21427700000000,88.2%,78.5,328239523
699,4.0,75,Poland,Konstancin,Pharmaceuticals,Healthcare,Poland,True,M,Starak,Jerzy,1947,14.1%,592164400688,67.8%,77.6,37970874
699,4.0,69,Switzerland,Geneva,Oil trading,Energy,Sweden,True,M,Tornqvist,Torbjorn,1953,-0.5%,703082435360,59.6%,83.6,8574832
699,4.0,74,Mexico,Mexico City,Steel,Metals & Mining,Mexico,True,M,Vigil Gonzalez,Rufino,1948,41.5%,1258286717125,40.2%,75.0,126014024
